,Nombre,Tipo,Provincia,Poblacion,lon,lat,uri
183,Orreaga/Roncesvalles,Municipio,Navarra,22.0,-1.3194,43.0097,http://www.wikidata.org/entity/Q917891
184,Sada,Municipio,Navarra,133.0,-1.4,42.5831,http://www.wikidata.org/entity/Q633493
185,Corella,Municipio,Navarra,7971.0,-1.7867,42.1147,http://www.wikidata.org/entity/Q550407
186,Olite,Municipio,Navarra,3946.0,-1.6625,42.4875,http://www.wikidata.org/entity/Q837062
187,Beriáin,Municipio,Navarra,4069.0,-1.6444,42.7336,http://www.wikidata.org/entity/Q820748
188,Guesálaz,Municipio,Navarra,432.0,-1.9167,42.75,http://www.wikidata.org/entity/Q959913
189,Torres del Río,Municipio,Navarra,126.0,-2.2694,42.5528,http://www.wikidata.org/entity/Q782995
190,Enériz,Municipio,Navarra,286.0,-1.7167,42.6667,http://www.wikidata.org/entity/Q956576
191,Barañáin,Municipio,Navarra,20199.0,-1.6833,42.8,http://www.wikidata.org/entity/Q768691
192,Tudela,Municipio,Navarra,36258.0,-1.6067,42.0653,http://www.wikidata.org/entity/Q244747
193,Auritz/Burguete,Municipio,Navarra,231.0,-1.3353,42.9894,http://www.wikidata.org/entity/Q5431
194,Adiós,Municipio,Navarra,155.0,-1.7358,42.6864,http://www.wikidata.org/entity/Q519017
195,Beire,Municipio,Navarra,286.0,-1.6217,42.4539,http://www.wikidata.org/entity/Q814864
196,Viana,Municipio,Navarra,4209.0,-2.3718,42.5151,http://www.wikidata.org/entity/Q907241
197,Andosilla,Municipio,Navarra,2743.0,-1.9419,42.3769,http://www.wikidata.org/entity/Q425775
198,Armañanzas,Municipio,Navarra,53.0,-2.285,42.56,http://www.wikidata.org/entity/Q614400
199,Isaba/Izaba,Municipio,Navarra,395.0,-0.9167,42.85,http://www.wikidata.org/entity/Q545577
200,Puente la Reina/Gares,Municipio,Navarra,2840.0,-1.8155,42.6717,http://www.wikidata.org/entity/Q372556
201,Lumbier,Municipio,Navarra,1318.0,-1.3056,42.6542,http://www.wikidata.org/entity/Q584132
202,Ablitas,Municipio,Navarra,2481.0,-1.6386,41.9736,http://www.wikidata.org/entity/Q322437
203,Muruzábal,Municipio,Navarra,233.0,-1.7806,42.6894,http://www.wikidata.org/entity/Q120453
204,Igúzquiza,Municipio,Navarra,325.0,-2.0853,42.6464,http://www.wikidata.org/entity/Q956415
205,Unciti,Municipio,Navarra,211.0,-1.4989,42.7489,http://www.wikidata.org/entity/Q962258
206,Lakuntza,Municipio,Navarra,1279.0,-2.0214,42.9231,http://www.wikidata.org/entity/Q779180
207,Echarri,Municipio,Navarra,75.0,-1.8253,42.7806,http://www.wikidata.org/entity/Q943700
208,Lerga,Municipio,Navarra,55.0,-1.5008,42.5664,http://www.wikidata.org/entity/Q931985
209,Juslapeña,Municipio,Navarra,563.0,-1.6833,42.8833,http://www.wikidata.org/entity/Q17709
210,Villanueva de Aézcoa,Municipio,Navarra,102.0,-1.2314,42.9457,http://www.wikidata.org/entity/Q284142
211,Arce/Artzi,Municipio,Navarra,262.0,-1.3742,42.8533,http://www.wikidata.org/entity/Q890585
212,Mendaza,Municipio,Navarra,287.0,-2.2347,42.6428,http://www.wikidata.org/entity/Q616378
213,Pitillas,Municipio,Navarra,484.0,-1.6222,42.4219,http://www.wikidata.org/entity/Q671053
214,Sunbilla,Municipio,Navarra,675.0,-1.6683,43.1644,http://www.wikidata.org/entity/Q605538
215,Betelu,Municipio,Navarra,366.0,-1.9795,43.0257,http://www.wikidata.org/entity/Q610479
216,Burlada/Burlata,Municipio,Navarra,19096.0,-1.6156,42.8265,http://www.wikidata.org/entity/Q732730
217,Arellano,Municipio,Navarra,157.0,-2.0469,42.6061,http://www.wikidata.org/entity/Q608818
218,San Adrián,Municipio,Navarra,6292.0,-1.9333,42.3325,http://www.wikidata.org/entity/Q668324
219,Oco,Municipio,Navarra,77.0,-2.1636,42.6397,http://www.wikidata.org/entity/Q1647454
220,Eulate,Municipio,Navarra,284.0,-2.2062,42.7764,http://www.wikidata.org/entity/Q1641873
221,Lodosa,Municipio,Navarra,4816.0,-2.0783,42.4242,http://www.wikidata.org/entity/Q984882
222,Cortes,Municipio,Navarra,3151.0,-1.4219,41.9228,http://www.wikidata.org/entity/Q1637031
223,Sansol,Municipio,Navarra,102.0,-2.2642,42.5547,http://www.wikidata.org/entity/Q984870
224,Ucar,Municipio,Navarra,184.0,-1.7053,42.6767,http://www.wikidata.org/entity/Q1647372
225,Uterga,Municipio,Navarra,153.0,-1.7594,42.71,http://www.wikidata.org/entity/Q984879
226,Huarte/Uharte,Municipio,Navarra,7101.0,-1.5906,42.8317,http://www.wikidata.org/entity/Q1641785
227,Ezcároz/Ezkaroze,Municipio,Navarra,306.0,-1.0964,42.8886,http://www.wikidata.org/entity/Q1646562
228,Arbizu,Municipio,Navarra,1104.0,-2.0394,42.9147,http://www.wikidata.org/entity/Q1645754
229,Berbinzana,Municipio,Navarra,655.0,-1.8342,42.5264,http://www.wikidata.org/entity/Q1645757
230,Aras,Municipio,Navarra,153.0,-2.355,42.5619,http://www.wikidata.org/entity/Q1645807
231,Areso,Municipio,Navarra,279.0,-1.95,43.0667,http://www.wikidata.org/entity/Q1645791
232,Cabredo,Municipio,Navarra,91.0,-2.4146,42.6293,http://www.wikidata.org/entity/Q1637015
233,Castillonuevo,Municipio,Navarra,16.0,-1.0444,42.6778,http://www.wikidata.org/entity/Q1636245
234,Vidángoz/Bidankoze,Municipio,Navarra,90.0,-1.0143,42.8014,http://www.wikidata.org/entity/Q1645687
235,Olazti/Olazagutía,Municipio,Navarra,1489.0,-2.1944,42.8778,http://www.wikidata.org/entity/Q1641794
236,Elgorriaga,Municipio,Navarra,220.0,-1.6869,43.1389,http://www.wikidata.org/entity/Q1641834
237,Valle de Egüés,Municipio,Navarra,21128.0,-1.5574,42.8237,http://www.wikidata.org/entity/Q1627534
238,Miranda de Arga,Municipio,Navarra,839.0,-1.8267,42.483,http://www.wikidata.org/entity/Q1641891
