,Nombre,Tipo,Provincia,Poblacion,Distancia,Dirección,Nubosidad,lon,lat
132,Villar del Infantado,Municipio,Provincia de Cuenca,43.0,101.75,233.52,-,-2.4792,40.4558
133,Mirabueno,Municipio,provincia de Guadalajara,80.0,102.19,266.68,-,-2.725,40.9439
134,Alaminos,Municipio,provincia de Guadalajara,60.0,103.19,261.74,-,-2.7247,40.8639
135,Solanillos del Extremo,Municipio,provincia de Guadalajara,91.0,103.71,254.66,-,-2.698,40.751
136,"Olmeda de Jadraque, La",Municipio,provincia de Guadalajara,17.0,103.97,278.05,-,-2.7394,41.1275
137,Mandayona,Municipio,provincia de Guadalajara,294.0,104.06,267.59,-,-2.7483,40.9575
138,Valderrebollo,Municipio,provincia de Guadalajara,23.0,104.67,258.54,31.3,-2.7294,40.8104
139,Millana,Municipio,provincia de Guadalajara,110.0,104.76,238.62,-,-2.5697,40.5086
140,Buenache de la Sierra,Municipio,Provincia de Cuenca,97.0,104.82,203.27,26.5,-2.0008,40.1356
141,Cogollor,Municipio,provincia de Guadalajara,25.0,105.0,260.99,-,-2.7433,40.8492
142,Sotorribas,Municipio,Provincia de Cuenca,732.0,105.31,211.58,28.6,-2.1628,40.1944
143,Henche,Municipio,provincia de Guadalajara,104.0,105.51,252.71,-,-2.7061,40.7158
144,Viana de Jadraque,Municipio,provincia de Guadalajara,46.0,105.57,271.83,32.56,-2.7681,41.0267
145,Arrancacepas,Municipio,Provincia de Cuenca,25.0,105.59,222.8,-,-2.359,40.3037
146,Mantiel,Municipio,provincia de Guadalajara,34.0,105.62,247.14,30.76,-2.6644,40.6293
147,Paredes de Sigüenza,Municipio,provincia de Guadalajara,19.0,105.88,285.03,-,-2.7336,41.2433
148,Alique,Municipio,provincia de Guadalajara,14.0,105.89,244.43,-,-2.6425,40.5875
149,Baides,Municipio,provincia de Guadalajara,56.0,106.23,270.63,32.56,-2.7761,41.0069
150,Bascuñana de San Pedro,Municipio,Provincia de Cuenca,18.0,106.55,214.72,28.6,-2.2281,40.2134
151,Almadrones,Municipio,provincia de Guadalajara,57.0,106.58,264.34,-,-2.7722,40.9022
152,Barriopedro,Municipio,provincia de Guadalajara,15.0,106.93,257.61,31.3,-2.7511,40.7908
153,Mariana,Municipio,Provincia de Cuenca,304.0,107.21,210.04,-,-2.1452,40.1666
154,Tordelrábano,Municipio,provincia de Guadalajara,26.0,107.24,283.34,-,-2.758,41.2186
